scenario_code,scenario_column,sensors
85,scenario_85,mod10+myd10+viirs_sr_vnp09ga
86,scenario_86,mod10+sice
87,scenario_87,mod10+sice+viirs_sr_vj109ga
88,scenario_88,mod10+sice+viirs_sr_vj109ga+viirs_sr_vj209ga
89,scenario_89,mod10+sice+viirs_sr_vj109ga+viirs_sr_vj209ga+viirs_sr_vnp09ga
90,scenario_90,mod10+sice+viirs_sr_vj109ga+viirs_sr_vnp09ga
91,scenario_91,mod10+sice+viirs_sr_vj209ga
92,scenario_92,mod10+sice+viirs_sr_vj209ga+viirs_sr_vnp09ga
93,scenario_93,mod10+sice+viirs_sr_vnp09ga
94,scenario_94,mod10+viirs_sr_vj109ga
95,scenario_95,mod10+viirs_sr_vj109ga+viirs_sr_vj209ga
96,scenario_96,mod10+viirs_sr_vj109ga+viirs_sr_vj209ga+viirs_sr_vnp09ga
97,scenario_97,mod10+viirs_sr_vj109ga+viirs_sr_vnp09ga
98,scenario_98,mod10+viirs_sr_vj209ga
99,scenario_99,mod10+viirs_sr_vj209ga+viirs_sr_vnp09ga
100,scenario_100,mod10+viirs_sr_vnp09ga
101,scenario_101,myd10
102,scenario_102,myd10+sice
103,scenario_103,myd10+sice+viirs_sr_vj109ga
104,scenario_104,myd10+sice+viirs_sr_vj109ga+viirs_sr_vj209ga
105,scenario_105,myd10+sice+viirs_sr_vj109ga+viirs_sr_vj209ga+viirs_sr_vnp09ga
106,scenario_106,myd10+sice+viirs_sr_vj109ga+viirs_sr_vnp09ga
107,scenario_107,myd10+sice+viirs_sr_vj209ga
108,scenario_108,myd10+sice+viirs_sr_vj209ga+viirs_sr_vnp09ga
109,scenario_109,myd10+sice+viirs_sr_vnp09ga
110,scenario_110,myd10+viirs_sr_vj109ga
111,scenario_111,myd10+viirs_sr_vj109ga+viirs_sr_vj209ga
112,scenario_112,myd10+viirs_sr_vj109ga+viirs_sr_vj209ga+viirs_sr_vnp09ga
113,scenario_113,myd10+viirs_sr_vj109ga+viirs_sr_vnp09ga
114,scenario_114,myd10+viirs_sr_vj209ga
