scenario_id,scenario,workflow,scenario_family,daily_sensor_groups,fallback_sensor_groups,daily_sensors,fallback_sensors,n_train,n_test,n_total,n_daily_used,n_fallback_used,train_r_squared,train_rmse,train_mae,train_bias,test_calib_r_squared,test_calib_rmse,test_calib_mae,test_calib_bias,train_slope,train_intercept,test_calib_slope,test_calib_intercept,slope,intercept
100,daily[mod10+myd10+sice+gcomc+viirs_sr_vj109ga],daily_only_or_16day_only_combinations,daily,"mod10, myd10, sice, gcomc, viirs_sr_vj109ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, myd10, myd10_2021, myd10_2022, myd10_2023, myd10_2024, myd10_2025, sice, gcomc, viirs_sr_vj109ga",,21097,9042,30139,30139,0,0.7163620606125701,0.11002248954463878,0.07146732862362105,-0.007012370691834542,0.7104110957258036,0.1067732009066403,0.07039831857371086,-0.0008908571086576057,0.8453031317225318,0.08870353700098133,0.9964456343870357,0.00129333280608801,0.8453031317225318,0.08870353700098133
21,daily[sice+viirs_sr_vj109ga],daily_only_or_16day_only_combinations,daily,"sice, viirs_sr_vj109ga",,"sice, viirs_sr_vj109ga",,7185,3080,10265,10265,0,0.7095271229342291,0.10650417971600487,0.07063059012338205,-0.007001177392275574,0.7096903237091633,0.10691731202457619,0.07158001297966725,0.0021243951989284764,0.9549904705995227,0.02015181543467437,0.9974747896861502,0.0036245835079120603,0.9549904705995227,0.02015181543467437
110,daily[mod10+sice+gcomc+viirs_sr_vnp09ga+viirs_sr_vj209ga],daily_only_or_16day_only_combinations,daily,"mod10, sice, gcomc, viirs_sr_vnp09ga, viirs_sr_vj209ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, sice, gcomc, viirs_sr_vnp09ga, viirs_sr_vj209ga",,20184,8651,28835,28835,0,0.7072093078076889,0.11033450963702078,0.07070232485788332,-0.008177746628582871,0.7095046554124128,0.10659385343480728,0.07090727848675453,-0.0006673641366748421,0.8529763526359381,0.08319009201808902,1.005855891500152,-0.0042552057491804796,0.8529763526359381,0.08319009201808902
29,daily[mod10+myd10+sice],daily_only_or_16day_only_combinations,daily,"mod10, myd10, sice",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, myd10, myd10_2021, myd10_2022, myd10_2023, myd10_2024, myd10_2025, sice",,20686,8866,29552,29552,0,0.7049378742366391,0.11357874098236116,0.07446045711186712,-0.007530083018607592,0.7084826053725137,0.10762233823854085,0.07207828104754048,-0.0015824431791860141,0.8228451767637956,0.10199518246377015,1.0078310007406572,-0.006384003212863254,0.8228451767637956,0.10199518246377015
74,daily[mod10+sice+gcomc+viirs_sr_vnp09ga],daily_only_or_16day_only_combinations,daily,"mod10, sice, gcomc, viirs_sr_vnp09ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, sice, gcomc, viirs_sr_vnp09ga",,20141,8632,28773,28773,0,0.7067028081645641,0.1108391191157846,0.07129496349928834,-0.007795623402123363,0.7082566162185027,0.1061065167132081,0.07020791382892433,-0.001687698609499606,0.851091198622658,0.08457031656832403,1.0064766517256927,-0.005672358353492668,0.851091198622658,0.08457031656832403
121,daily[mod10+myd10+sice+gcomc+viirs_sr_vnp09ga+viirs_sr_vj209ga],daily_only_or_16day_only_combinations,daily,"mod10, myd10, sice, gcomc, viirs_sr_vnp09ga, viirs_sr_vj209ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, myd10, myd10_2021, myd10_2022, myd10_2023, myd10_2024, myd10_2025, sice, gcomc, viirs_sr_vnp09ga, viirs_sr_vj209ga",,21207,9089,30296,30296,0,0.7212631732353005,0.10842374022529633,0.06998108688083338,-0.00732899389259364,0.7066507763922156,0.10735814028115484,0.07016449538890983,-9.010969959004913e-05,0.8567890993871237,0.0813579234058297,0.9929334311563458,0.004244405301250587,0.8567890993871237,0.0813579234058297
102,daily[mod10+myd10+sice+viirs_sr_vnp09ga+viirs_sr_vj109ga],daily_only_or_16day_only_combinations,daily,"mod10, myd10, sice, viirs_sr_vnp09ga, viirs_sr_vj109ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, myd10, myd10_2021, myd10_2022, myd10_2023, myd10_2024, myd10_2025, sice, viirs_sr_vnp09ga, viirs_sr_vj109ga",,20963,8985,29948,29948,0,0.7165472920638318,0.11011154539889223,0.0709951839103007,-0.008553027352098142,0.7060172968718347,0.10698232389115292,0.07049158468024298,0.00034364380512066667,0.8491933960020548,0.08488269798178705,0.9917302402096675,0.005408701274926431,0.8491933960020548,0.08488269798178705
78,daily[mod10+sice+viirs_sr_vnp09ga+viirs_sr_vj209ga],daily_only_or_16day_only_combinations,daily,"mod10, sice, viirs_sr_vnp09ga, viirs_sr_vj209ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, sice, viirs_sr_vnp09ga, viirs_sr_vj209ga",,19784,8480,28264,28264,0,0.6985950899592964,0.11311989576773993,0.07292604255334699,-0.008870958238336533,0.7054394759847782,0.1064553873407657,0.07056106827092622,-0.0016181585672406372,0.8409874893696802,0.08981886115440452,0.9954621220693696,0.0011639895004040834,0.8409874893696802,0.08981886115440452
77,daily[mod10+sice+viirs_sr_vnp09ga+viirs_sr_vj109ga],daily_only_or_16day_only_combinations,daily,"mod10, sice, viirs_sr_vnp09ga, viirs_sr_vj109ga",,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025, sice, viirs_sr_vnp09ga, viirs_sr_vj109ga",,19857,8511,28368,28368,0,0.7014546042555035,0.11235296092880938,0.0718784156555161,-0.010025364123184938,0.7052623219232769,0.10669576843043059,0.07170520389800931,0.00028051316851824024,0.8449793784722672,0.08652658507667588,0.9963612148744502,0.0024985247239263098,0.8449793784722672,0.08652658507667588
1,daily[mod10],daily_only_or_16day_only_combinations,daily,mod10,,"mod10, mod10_2020, mod10_2021, mod10_2022, mod10_2023, mod10_2024, mod10_2025",,18628,7984,26612,26612,0,0.6942707481381388,0.11809609675194421,0.07743374146988406,-0.007011181071988405,0.7048428944996116,0.1066083016457227,0.071160478357559,-0.0011481902307363036,0.7788708992823612,0.13059135530534216,0.9964977327299348,0.0009996370460790827,0.7788708992823612,0.13059135530534216
